# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Se		L2M4	1419.65	0.84	1419.24	0.12						1d
Se		L2M5	1420.60	0.84								
Ge		L1 edge	1421.74	0.73	1413.23	0.24	1412.9	1.9				1d
Se		L3N1	1423.1	1.2								
Se		L1M1	1424.4	1.8								
Se		L3N3	1432.57	0.46								
Se		L3N2	1433.83	0.86								
Al		KL1	1438.94	0.38								
Kr		L2M1	1439.4	1.4								
Se		L3 edge	1444.18	0.31	1433.98	0.25	1434.24	0.13				1d
Kr		L3M2	1457.7	1.4								
Se		L2N1	1463.9	1.3								
Kr		L3M3	1465.3	1.3								
Se		L2N3	1473.29	0.50								
Se		L2N2	1474.55	0.89								
Br		L3M4	1479.95	0.82	1480.46	0.13					L3M4,5	1d
Br		L3M5	1481.02	0.81	1480.46	0.13					L3M4,5	1d
Rb		L3M1	1483.6	1.4	1482.40	0.10						1d
Se		L2 edge	1484.90	0.35	1474.75	0.26	1474.2	1.0				1d
Se		L1M2	1486.8	1.8	1490.0	2.4					L1M2,3	1d
Al		KL2	1487.12	0.47	1486.295	0.010						2d
Al		KL3	1487.53	0.47	1486.708	0.010						2d
As		L1M4	1488.3	1.2								
As		L1M5	1489.2	1.2								
Se		L1M3	1493.0	1.8	1490.0	2.4					L1M2,3	1d
Kr		L2M2	1510.1	1.4								
Kr		L2M3	1517.7	1.4								
As		L1N1	1522.0	1.3								
Br		L2M4	1526.28	0.86	1525.92	0.14						1d
Br		L1M1	1526.5	1.8								
Br		L2M5	1527.35	0.85								
As		L1N3	1529.68	0.76								
As		L1N2	1531.2	1.2								
Br		L3N1	1535.8	1.6								
As		L1 edge	1540.04	0.70	1529.32	0.28	1532.2	2.5				1d
Rb		L2M1	1542.9	1.4	1541.78	0.11						1d
Br		L3N3	1546.82	0.52								
Br		L3N2	1547.49	0.83								
Al		KM1	1556.63	0.98	1557.57	0.58					KM	1d
Al		KM3			1557.57	0.58					KM	1d
Al		KM4			1557.57	0.58					KM	1d
Al		KM5			1557.57	0.58					KM	1d
Rb		L3M2	1557.7	1.4								
Br		L3 edge	1559.84	0.31	1552.9	1.4	1549.98	0.58				1d
Al		KM2	1561.28	0.96	1557.57	0.58					KM	1d
Rb		L3M3	1566.6	1.3								
Al		K edge	1569.56	0.13	1559.893	0.015	1559.53	0.27				1d
Br		L2N1	1582.1	1.7								
Sr		L3M1	1583.3	1.4	1582.174	0.090						1d
Kr		L3M4	1584.63	0.83	1585.411	0.026					L3M4,5	3d
Kr		L3M5	1585.88	0.83	1585.411	0.026					L3M4,5	3d
Br		L1M2	1592.8	1.8	1596.3	2.7					L1M2,3	1d
Br		L2N3	1593.15	0.56								
Br		L2N2	1593.81	0.87								
Se		L1M4	1598.0	1.2								
Se		L1M5	1598.9	1.2								
Br		L1M3	1600.0	1.8	1596.3	2.7					L1M2,3	1d
Br		L2 edge	1606.17	0.35	1599.2	1.5	1596.31	0.71				1d
Rb		L2M2	1617.0	1.4								
Rb		L2M3	1625.9	1.3								
Kr		L1M1	1632.4	1.8								
Kr		L2M4	1637.05	0.87	1636.876	0.021						3d
Kr		L2M5	1638.30	0.87								
Se		L1N1	1642.2	1.6								
Sr		L2M1	1650.1	1.4	1649.337	0.097						1d
Se		L1N3	1651.62	0.88								
Se		L1N2	1652.9	1.3								
Kr		L3N1	1653.2	2.1	1650.9	1.3						1d
Sr		L3M2	1661.4	1.4								
Se		L1 edge	1663.23	0.73	1652.44	0.33	1653.6	2.9				1d
Kr		L3N2	1665.43	0.70								
Kr		L3N3	1666.09	0.68								
Sr		L3M3	1671.5	1.3								
Kr		L3 edge	1680.06	0.31	1677.25	0.34	1679.07	0.39				1d
Y		L3M1	1686.5	1.4	1685.39	0.10						1d
Si		KL1	1686.54	0.33								
Rb		L3M4	1693.16	0.85	1692.57	0.10						1d
Rb		L3M5	1694.60	0.84	1694.141	0.069						1d
Kr		L1M2	1703.1	1.9	1697.5	1.7						1d
Kr		L2N1	1705.7	2.1	1703.3	1.7						1d
Kr		L1M3	1710.7	1.8	1706.8	1.7						1d
Br		L1M4	1711.9	1.3								
Br		L1M5	1713.0	1.3								
Kr		L2N2	1717.86	0.75								
Kr		L2N3	1718.52	0.73								
Sr		L2M2	1728.1	1.4								
Kr		L2 edge	1732.49	0.36	1729.66	0.36	1730.90	0.50				1d
Sr		L2M3	1738.3	1.3								
Si		KL2	1739.67	0.47	1739.394	0.034						3d
Si		KL3	1741.16	0.47	1739.985	0.019						3d
Rb		L1M1	1743.4	1.8								
Rb		L2M4	1752.46	0.90	1752.18	0.11						1d
Rb		L2M5	1753.90	0.88								
Y		L2M1	1761.7	1.3	1760.96	0.11						1d
Br		L1N1	1767.8	2.1								
Y		L3M2	1768.6	1.4								
Rb		L3N1	1771.7	2.0	1775.18	0.11						1d
Br		L1N3	1778.79	0.97								
Br		L1N2	1779.5	1.3								
Y		L3M3	1780.3	1.3								
Rb		L3N2	1790.54	0.70								
Rb		L3N3	1791.50	0.70								
Br		L1 edge	1791.81	0.76	1781.6	1.9	1781.8	3.5				1d
Zr		L3M1	1793.2	1.4	1792.111	0.023						3d
Sr		L3M4	1805.40	0.86	1804.77	0.12						1d
Sr		L3M5	1807.10	0.85	1806.585	0.078						1d
Rb		L3 edge	1812.69	0.31	1806.80	0.39	1806.2	1.8				1d
Rb		L1M2	1817.6	1.9	1817.74	0.12						1d
Rb		L1M3	1826.4	1.8	1826.60	0.12						1d
Kr		L1M4	1830.1	1.3								
Rb		L2N1	1831.0	2.1	1835.33	0.12						1d
Kr		L1M5	1831.3	1.3								
Si		KM1	1834.97	0.84	1835.96	0.40					KM	1d
Si		KM3			1835.96	0.40					KM	1d
Si		KM4			1835.96	0.40					KM	1d
Si		KM5			1835.96	0.40					KM	1d
Si		KM2	1841.79	0.72	1835.96	0.40					KM	1d
Y		L2M2	1843.8	1.4								
Rb		L2N2	1849.84	0.75								
Si		K edge	1850.26	0.13	1840.05	0.40	1839.13	0.37				1d
Rb		L2N3	1850.79	0.74								
